date,month,year,lake,site,species,Total length (mm)
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,49
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,45
20170807,8,2017,MCDERMOTT,1,Bluegill,45
20170807,8,2017,MCDERMOTT,1,Bluegill,44
20170807,8,2017,MCDERMOTT,1,Bluegill,44
20170908,9,2017,MCDERMOTT,1,Bluegill,76
20170908,9,2017,MCDERMOTT,1,Bluegill,75
20170908,9,2017,MCDERMOTT,1,Bluegill,73
20170908,9,2017,MCDERMOTT,1,Bluegill,63
20170908,9,2017,MCDERMOTT,1,Bluegill,61
20170908,9,2017,MCDERMOTT,1,Bluegill,58
20170908,9,2017,MCDERMOTT,1,Bluegill,55
20170908,9,2017,MCDERMOTT,1,Bluegill,55
20170908,9,2017,MCDERMOTT,1,Bluegill,52
20170621,6,2017,MCDERMOTT,1,Bluegill,125
20170621,6,2017,MCDERMOTT,1,Bluegill,96
20170621,6,2017,MCDERMOTT,1,Bluegill,81
20170621,6,2017,MCDERMOTT,1,Bluegill,72
20170621,6,2017,MCDERMOTT,1,Bluegill,69
20170621,6,2017,MCDERMOTT,1,Bluegill,69
20170621,6,2017,MCDERMOTT,1,Bluegill,68
20170621,6,2017,MCDERMOTT,1,Bluegill,65
20170621,6,2017,MCDERMOTT,1,Bluegill,48
20170621,6,2017,MCDERMOTT,1,Bluegill,46
20170621,6,2017,MCDERMOTT,1,Bluegill,43
20170621,6,2017,MCDERMOTT,1,Bluegill,42
20170710,7,2017,MCDERMOTT,1,Bluegill,135
20170710,7,2017,MCDERMOTT,1,Bluegill,135
20170710,7,2017,MCDERMOTT,1,Bluegill,132
20170710,7,2017,MCDERMOTT,1,Bluegill,110
20170710,7,2017,MCDERMOTT,1,Bluegill,103
20170710,7,2017,MCDERMOTT,1,Bluegill,101
20170710,7,2017,MCDERMOTT,1,Bluegill,100
20170710,7,2017,MCDERMOTT,1,Bluegill,95
20170710,7,2017,MCDERMOTT,1,Bluegill,93
20170710,7,2017,MCDERMOTT,1,Bluegill,93
20170710,7,2017,MCDERMOTT,1,Bluegill,90
20170710,7,2017,MCDERMOTT,1,Bluegill,90
20170710,7,2017,MCDERMOTT,1,Bluegill,88
20170710,7,2017,MCDERMOTT,1,Bluegill,82
20170710,7,2017,MCDERMOTT,1,Bluegill,81
20170710,7,2017,MCDERMOTT,1,Bluegill,80
20170710,7,2017,MCDERMOTT,1,Bluegill,78
20170710,7,2017,MCDERMOTT,1,Bluegill,78
20170710,7,2017,MCDERMOTT,1,Bluegill,76
20170710,7,2017,MCDERMOTT,1,Bluegill,76
20170710,7,2017,MCDERMOTT,1,Bluegill,76
20170710,7,2017,MCDERMOTT,1,Bluegill,76
20170710,7,2017,MCDERMOTT,1,Bluegill,74
20170710,7,2017,MCDERMOTT,1,Bluegill,74
20170710,7,2017,MCDERMOTT,1,Bluegill,72
20170710,7,2017,MCDERMOTT,1,Bluegill,72
20170710,7,2017,MCDERMOTT,1,Bluegill,71
20170710,7,2017,MCDERMOTT,1,Bluegill,70
20170710,7,2017,MCDERMOTT,1,Bluegill,70
20170710,7,2017,MCDERMOTT,1,Bluegill,70
20170710,7,2017,MCDERMOTT,1,Bluegill,68
20170710,7,2017,MCDERMOTT,1,Bluegill,67
20170710,7,2017,MCDERMOTT,1,Bluegill,65
20170710,7,2017,MCDERMOTT,1,Bluegill,65
20170710,7,2017,MCDERMOTT,1,Bluegill,60
20170710,7,2017,MCDERMOTT,1,Bluegill,54
20170710,7,2017,MCDERMOTT,1,Bluegill,51
20170710,7,2017,MCDERMOTT,1,Bluegill,46
20170710,7,2017,MCDERMOTT,1,Bluegill,46
20170710,7,2017,MCDERMOTT,1,Bluegill,45
20170710,7,2017,MCDERMOTT,1,Bluegill,45
20170710,7,2017,MCDERMOTT,1,Bluegill,40
20170808,8,2017,MCDERMOTT,1,Bluegill,145
20170808,8,2017,MCDERMOTT,1,Bluegill,142
20170808,8,2017,MCDERMOTT,1,Bluegill,141
20170808,8,2017,MCDERMOTT,1,Bluegill,126
20170808,8,2017,MCDERMOTT,1,Bluegill,121
20170808,8,2017,MCDERMOTT,1,Bluegill,104
20170808,8,2017,MCDERMOTT,1,Bluegill,90
20170808,8,2017,MCDERMOTT,1,Bluegill,86
20170808,8,2017,MCDERMOTT,1,Bluegill,83
20170808,8,2017,MCDERMOTT,1,Bluegill,80
20170808,8,2017,MCDERMOTT,1,Bluegill,80
20170808,8,2017,MCDERMOTT,1,Bluegill,76
20170808,8,2017,MCDERMOTT,1,Bluegill,76
20170808,8,2017,MCDERMOTT,1,Bluegill,75
20170808,8,2017,MCDERMOTT,1,Bluegill,73
20170808,8,2017,MCDERMOTT,1,Bluegill,72
20170808,8,2017,MCDERMOTT,1,Bluegill,56
20170808,8,2017,MCDERMOTT,1,Bluegill,46
20170808,8,2017,MCDERMOTT,1,Bluegill,45
20170905,9,2017,MCDERMOTT,1,Bluegill,138
20170905,9,2017,MCDERMOTT,1,Bluegill,136
20170905,9,2017,MCDERMOTT,1,Bluegill,115
20170905,9,2017,MCDERMOTT,1,Bluegill,110
20170905,9,2017,MCDERMOTT,1,Bluegill,108
20170905,9,2017,MCDERMOTT,1,Bluegill,95
20170905,9,2017,MCDERMOTT,1,Bluegill,90
20170905,9,2017,MCDERMOTT,1,Bluegill,82
20170905,9,2017,MCDERMOTT,1,Bluegill,80
20170905,9,2017,MCDERMOTT,1,Bluegill,80
20170905,9,2017,MCDERMOTT,1,Bluegill,80
20170622,6,2017,MCDERMOTT,1,Bluegill,124
20170622,6,2017,MCDERMOTT,1,Bluegill,124
20170622,6,2017,MCDERMOTT,1,Bluegill,118
20170622,6,2017,MCDERMOTT,1,Bluegill,117
20170622,6,2017,MCDERMOTT,1,Bluegill,112
20170622,6,2017,MCDERMOTT,1,Bluegill,109
20170622,6,2017,MCDERMOTT,1,Bluegill,107
20170622,6,2017,MCDERMOTT,1,Bluegill,104
20170622,6,2017,MCDERMOTT,1,Bluegill,104
20170622,6,2017,MCDERMOTT,1,Bluegill,101
20170622,6,2017,MCDERMOTT,1,Bluegill,97
20170622,6,2017,MCDERMOTT,1,Bluegill,97
20170622,6,2017,MCDERMOTT,1,Bluegill,74
20170622,6,2017,MCDERMOTT,1,Bluegill,69
20170622,6,2017,MCDERMOTT,1,Bluegill,57
20170622,6,2017,MCDERMOTT,1,Bluegill,46
20170712,7,2017,MCDERMOTT,1,Bluegill,44
20170712,7,2017,MCDERMOTT,1,Bluegill,40
20170712,7,2017,MCDERMOTT,1,Bluegill,38
20170712,7,2017,MCDERMOTT,1,Bluegill,38
20170712,7,2017,MCDERMOTT,1,Bluegill,38
20170712,7,2017,MCDERMOTT,1,Bluegill,38
20170712,7,2017,MCDERMOTT,1,Bluegill,38
20170712,7,2017,MCDERMOTT,1,Bluegill,37
20170712,7,2017,MCDERMOTT,1,Bluegill,37
20170712,7,2017,MCDERMOTT,1,Bluegill,37
20170712,7,2017,MCDERMOTT,1,Bluegill,37
20170712,7,2017,MCDERMOTT,1,Bluegill,37
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,36
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,35
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,34
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,33
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170712,7,2017,MCDERMOTT,1,Bluegill,32
20170810,8,2017,MCDERMOTT,1,Bluegill,113
20170810,8,2017,MCDERMOTT,1,Bluegill,112
20170810,8,2017,MCDERMOTT,1,Bluegill,107
20170810,8,2017,MCDERMOTT,1,Bluegill,93
20170810,8,2017,MCDERMOTT,1,Bluegill,87
20170810,8,2017,MCDERMOTT,1,Bluegill,85
20170810,8,2017,MCDERMOTT,1,Bluegill,82
20170810,8,2017,MCDERMOTT,1,Bluegill,80
20170810,8,2017,MCDERMOTT,1,Bluegill,66
20170810,8,2017,MCDERMOTT,1,Bluegill,55
20170810,8,2017,MCDERMOTT,1,Bluegill,42
20170909,9,2017,MCDERMOTT,1,Bluegill,122
20170909,9,2017,MCDERMOTT,1,Bluegill,119
20170909,9,2017,MCDERMOTT,1,Bluegill,114
20170909,9,2017,MCDERMOTT,1,Bluegill,107
20170909,9,2017,MCDERMOTT,1,Bluegill,95
20170909,9,2017,MCDERMOTT,1,Bluegill,81
20170909,9,2017,MCDERMOTT,1,Bluegill,80
20170909,9,2017,MCDERMOTT,1,Bluegill,77
20170909,9,2017,MCDERMOTT,1,Bluegill,71
20170909,9,2017,MCDERMOTT,1,Bluegill,69
20170909,9,2017,MCDERMOTT,1,Bluegill,64
